x,y,ore_type,density,hardness,fragmentation_index
0,0,gold,4,0.8,0.2
1,0,silver,3.5,0.7,0.3
2,0,copper,3,0.6,0.4
3,0,iron,5,0.9,0.1
4,0,coal,2,0.4,0.6
5,0,clay,1.5,0.2,0.8
6,0,gold,4,0.8,0.2
7,0,silver,3.5,0.7,0.3
0,1,copper,3,0.6,0.4
1,1,iron,5,0.9,0.1
2,1,coal,2,0.4,0.6
3,1,clay,1.5,0.2,0.8
4,1,gold,4,0.8,0.2
5,1,silver,3.5,0.7,0.3
6,1,copper,3,0.6,0.4
7,1,iron,5,0.9,0.1
0,2,coal,2,0.4,0.6
1,2,clay,1.5,0.2,0.8
2,2,gold,4,0.8,0.2
3,2,silver,3.5,0.7,0.3
4,2,copper,3,0.6,0.4
5,2,iron,5,0.9,0.1
6,2,coal,2,0.4,0.6
7,2,clay,1.5,0.2,0.8
0,3,gold,4,0.8,0.2
1,3,silver,3.5,0.7,0.3
2,3,copper,3,0.6,0.4
3,3,iron,5,0.9,0.1
4,3,coal,2,0.4,0.6
5,3,clay,1.5,0.2,0.8
6,3,gold,4,0.8,0.2
7,3,silver,3.5,0.7,0.3
0,4,copper,3,0.6,0.4
1,4,iron,5,0.9,0.1
2,4,coal,2,0.4,0.6
3,4,clay,1.5,0.2,0.8
4,4,gold,4,0.8,0.2
5,4,silver,3.5,0.7,0.3
6,4,copper,3,0.6,0.4
7,4,iron,5,0.9,0.1
0,5,coal,2,0.4,0.6
1,5,clay,1.5,0.2,0.8
2,5,gold,4,0.8,0.2
3,5,silver,3.5,0.7,0.3
4,5,copper,3,0.6,0.4
5,5,iron,5,0.9,0.1
6,5,coal,2,0.4,0.6
7,5,clay,1.5,0.2,0.8
0,6,gold,4,0.8,0.2
1,6,silver,3.5,0.7,0.3
2,6,copper,3,0.6,0.4
3,6,iron,5,0.9,0.1
4,6,coal,2,0.4,0.6
5,6,clay,1.5,0.2,0.8
6,6,gold,4,0.8,0.2
7,6,silver,3.5,0.7,0.3
0,7,copper,3,0.6,0.4
1,7,iron,5,0.9,0.1
2,7,coal,2,0.4,0.6
3,7,clay,1.5,0.2,0.8
4,7,gold,4,0.8,0.2
5,7,silver,3.5,0.7,0.3
6,7,copper,3,0.6,0.4
7,7,iron,5,0.9,0.1
