x,y,ore_type,density,hardness,fragmentation_index
0,0,palladium,12.0,0.8,0.2
1,0,ruby,4.0,0.9,0.1
2,0,sandstone,2.3,0.5,0.5
3,0,sandstone,2.3,0.5,0.5
4,0,topaz,3.5,0.7,0.3
5,0,sapphire,4.0,0.9,0.1
6,0,diamond,3.5,1.0,0.0
7,0,silver,10.5,0.7,0.3
8,0,diamond,3.5,1.0,0.0
9,0,diamond,3.5,1.0,0.0
10,0,marble,2.7,0.7,0.3
11,0,emerald,2.7,0.8,0.2
12,0,ore,3.0,0.7,0.3
13,0,copper,8.96,0.6,0.4
14,0,copper,8.96,0.6,0.4
15,0,diamond,3.5,1.0,0.0
16,0,silver,10.5,0.7,0.3
17,0,graphite,2.3,0.2,0.8
18,0,diamond,3.5,1.0,0.0
19,0,ruby,4.0,0.9,0.1
0,1,slate,2.7,0.8,0.2
1,1,topaz,3.5,0.7,0.3
2,1,gold,19.3,0.8,0.2
3,1,copper,8.96,0.6,0.4
4,1,platinum,21.5,0.9,0.1
5,1,platinum,21.5,0.9,0.1
6,1,platinum,21.5,0.9,0.1
7,1,marble,2.7,0.7,0.3
8,1,zinc,7.14,0.7,0.3
9,1,emerald,2.7,0.8,0.2
10,1,emerald,2.7,0.8,0.2
11,1,silver,10.5,0.7,0.3
12,1,ruby,4.0,0.9,0.1
13,1,emerald,2.7,0.8,0.2
14,1,diamond,3.5,1.0,0.0
15,1,copper,8.96,0.6,0.4
16,1,slate,2.7,0.8,0.2
17,1,silver,10.5,0.7,0.3
18,1,palladium,12.0,0.8,0.2
19,1,topaz,3.5,0.7,0.3
0,2,silver,10.5,0.7,0.3
1,2,platinum,21.5,0.9,0.1
2,2,sapphire,4.0,0.9,0.1
3,2,ruby,4.0,0.9,0.1
4,2,silver,10.5,0.7,0.3
5,2,emerald,2.7,0.8,0.2
6,2,silver,10.5,0.7,0.3
7,2,ruby,4.0,0.9,0.1
8,2,limestone,2.7,0.4,0.6
9,2,sapphire,4.0,0.9,0.1
10,2,stone,2.5,0.6,0.4
11,2,silver,10.5,0.7,0.3
12,2,topaz,3.5,0.7,0.3
13,2,ruby,4.0,0.9,0.1
14,2,palladium,12.0,0.8,0.2
15,2,ruby,4.0,0.9,0.1
16,2,ruby,4.0,0.9,0.1
17,2,gold,19.3,0.8,0.2
18,2,gold,19.3,0.8,0.2
19,2,silver,10.5,0.7,0.3
0,3,slate,2.7,0.8,0.2
1,3,sapphire,4.0,0.9,0.1
2,3,palladium,12.0,0.8,0.2
3,3,emerald,2.7,0.8,0.2
4,3,ore,3.0,0.7,0.3
5,3,mineral,2.8,0.65,0.35
6,3,mineral,2.8,0.65,0.35
7,3,copper,8.96,0.6,0.4
8,3,ruby,4.0,0.9,0.1
9,3,rock,2.5,0.6,0.4
10,3,topaz,3.5,0.7,0.3
11,3,sapphire,4.0,0.9,0.1
12,3,ore,3.0,0.7,0.3
13,3,topaz,3.5,0.7,0.3
14,3,ruby,4.0,0.9,0.1
15,3,silver,10.5,0.7,0.3
16,3,sapphire,4.0,0.9,0.1
17,3,sandstone,2.3,0.5,0.5
18,3,copper,8.96,0.6,0.4
19,3,clay,1.8,0.4,0.6
0,4,palladium,12.0,0.8,0.2
1,4,topaz,3.5,0.7,0.3
2,4,diamond,3.5,1.0,0.0
3,4,coal,1.3,0.3,0.7
4,4,silver,10.5,0.7,0.3
5,4,quartz,2.65,0.8,0.2
6,4,diamond,3.5,1.0,0.0
7,4,copper,8.96,0.6,0.4
8,4,copper,8.96,0.6,0.4
9,4,gold,19.3,0.8,0.2
10,4,diamond,3.5,1.0,0.0
11,4,palladium,12.0,0.8,0.2
12,4,topaz,3.5,0.7,0.3
13,4,emerald,2.7,0.8,0.2
14,4,silver,10.5,0.7,0.3
15,4,topaz,3.5,0.7,0.3
16,4,emerald,2.7,0.8,0.2
17,4,sapphire,4.0,0.9,0.1
18,4,diamond,3.5,1.0,0.0
19,4,platinum,21.5,0.9,0.1
0,5,platinum,21.5,0.9,0.1
1,5,gold,19.3,0.8,0.2
2,5,diamond,3.5,1.0,0.0
3,5,rock,2.5,0.6,0.4
4,5,lead,11.3,0.8,0.2
5,5,stone,2.5,0.6,0.4
6,5,granite,2.75,0.9,0.1
7,5,iron,7.8,0.9,0.1
8,5,palladium,12.0,0.8,0.2
9,5,diamond,3.5,1.0,0.0
10,5,copper,8.96,0.6,0.4
11,5,copper,8.96,0.6,0.4
12,5,emerald,2.7,0.8,0.2
13,5,palladium,12.0,0.8,0.2
14,5,platinum,21.5,0.9,0.1
15,5,silver,10.5,0.7,0.3
16,5,ruby,4.0,0.9,0.1
17,5,palladium,12.0,0.8,0.2
18,5,diamond,3.5,1.0,0.0
19,5,copper,8.96,0.6,0.4
0,6,ruby,4.0,0.9,0.1
1,6,topaz,3.5,0.7,0.3
2,6,palladium,12.0,0.8,0.2
3,6,palladium,12.0,0.8,0.2
4,6,emerald,2.7,0.8,0.2
5,6,emerald,2.7,0.8,0.2
6,6,diamond,3.5,1.0,0.0
7,6,emerald,2.7,0.8,0.2
8,6,diamond,3.5,1.0,0.0
9,6,sapphire,4.0,0.9,0.1
10,6,diamond,3.5,1.0,0.0
11,6,ruby,4.0,0.9,0.1
12,6,diamond,3.5,1.0,0.0
13,6,topaz,3.5,0.7,0.3
14,6,quartz,2.65,0.8,0.2
15,6,zinc,7.14,0.7,0.3
16,6,topaz,3.5,0.7,0.3
17,6,gold,19.3,0.8,0.2
18,6,lead,11.3,0.8,0.2
19,6,iron,7.8,0.9,0.1
0,7,platinum,21.5,0.9,0.1
1,7,lead,11.3,0.8,0.2
2,7,ruby,4.0,0.9,0.1
3,7,gold,19.3,0.8,0.2
4,7,gold,19.3,0.8,0.2
5,7,topaz,3.5,0.7,0.3
6,7,copper,8.96,0.6,0.4
7,7,sapphire,4.0,0.9,0.1
8,7,emerald,2.7,0.8,0.2
9,7,palladium,12.0,0.8,0.2
10,7,sapphire,4.0,0.9,0.1
11,7,palladium,12.0,0.8,0.2
12,7,emerald,2.7,0.8,0.2
13,7,silver,10.5,0.7,0.3
14,7,diamond,3.5,1.0,0.0
15,7,gold,19.3,0.8,0.2
16,7,granite,2.75,0.9,0.1
17,7,platinum,21.5,0.9,0.1
18,7,gold,19.3,0.8,0.2
19,7,topaz,3.5,0.7,0.3
0,8,copper,8.96,0.6,0.4
1,8,diamond,3.5,1.0,0.0
2,8,palladium,12.0,0.8,0.2
3,8,aluminum,2.7,0.5,0.5
4,8,silver,10.5,0.7,0.3
5,8,copper,8.96,0.6,0.4
6,8,gold,19.3,0.8,0.2
7,8,gold,19.3,0.8,0.2
8,8,tin,7.3,0.6,0.4
9,8,gold,19.3,0.8,0.2
10,8,sapphire,4.0,0.9,0.1
11,8,gold,19.3,0.8,0.2
12,8,palladium,12.0,0.8,0.2
13,8,diamond,3.5,1.0,0.0
14,8,ruby,4.0,0.9,0.1
15,8,emerald,2.7,0.8,0.2
16,8,emerald,2.7,0.8,0.2
17,8,platinum,21.5,0.9,0.1
18,8,diamond,3.5,1.0,0.0
19,8,topaz,3.5,0.7,0.3
0,9,aluminum,2.7,0.5,0.5
1,9,sapphire,4.0,0.9,0.1
2,9,gold,19.3,0.8,0.2
3,9,emerald,2.7,0.8,0.2
4,9,gold,19.3,0.8,0.2
5,9,platinum,21.5,0.9,0.1
6,9,tin,7.3,0.6,0.4
7,9,palladium,12.0,0.8,0.2
8,9,clay,1.8,0.4,0.6
9,9,ruby,4.0,0.9,0.1
10,9,rock,2.5,0.6,0.4
11,9,sapphire,4.0,0.9,0.1
12,9,zinc,7.14,0.7,0.3
13,9,topaz,3.5,0.7,0.3
14,9,topaz,3.5,0.7,0.3
15,9,platinum,21.5,0.9,0.1
16,9,mineral,2.8,0.65,0.35
17,9,aluminum,2.7,0.5,0.5
18,9,sapphire,4.0,0.9,0.1
19,9,topaz,3.5,0.7,0.3
0,10,copper,8.96,0.6,0.4
1,10,emerald,2.7,0.8,0.2
2,10,stone,2.5,0.6,0.4
3,10,ruby,4.0,0.9,0.1
4,10,gold,19.3,0.8,0.2
5,10,gold,19.3,0.8,0.2
6,10,palladium,12.0,0.8,0.2
7,10,limestone,2.7,0.4,0.6
8,10,platinum,21.5,0.9,0.1
9,10,diamond,3.5,1.0,0.0
10,10,zinc,7.14,0.7,0.3
11,10,copper,8.96,0.6,0.4
12,10,platinum,21.5,0.9,0.1
13,10,coal,1.3,0.3,0.7
14,10,palladium,12.0,0.8,0.2
15,10,quartz,2.65,0.8,0.2
16,10,emerald,2.7,0.8,0.2
17,10,copper,8.96,0.6,0.4
18,10,diamond,3.5,1.0,0.0
19,10,silver,10.5,0.7,0.3
0,11,sapphire,4.0,0.9,0.1
1,11,coal,1.3,0.3,0.7
2,11,sapphire,4.0,0.9,0.1
3,11,palladium,12.0,0.8,0.2
4,11,topaz,3.5,0.7,0.3
5,11,emerald,2.7,0.8,0.2
6,11,diamond,3.5,1.0,0.0
7,11,graphite,2.3,0.2,0.8
8,11,emerald,2.7,0.8,0.2
9,11,lead,11.3,0.8,0.2
