x,y,ore_type,density,hardness,fragmentation_index
0,0,iron,7.8,0.9,0.1
1,0,gold,19.3,0.8,0.2
2,0,silver,10.5,0.7,0.3
3,0,copper,8.96,0.6,0.4
4,0,aluminum,2.7,0.5,0.5
5,0,lead,11.3,0.8,0.2
6,0,zinc,7.14,0.7,0.3
7,0,tin,7.3,0.6,0.4
8,0,platinum,21.5,0.9,0.1
9,0,palladium,12.0,0.8,0.2
10,0,coal,1.3,0.3,0.7
11,0,graphite,2.3,0.2,0.8
12,0,diamond,3.5,1.0,0.0
13,0,quartz,2.65,0.8,0.2
14,0,limestone,2.7,0.4,0.6
15,0,granite,2.75,0.9,0.1
16,0,sandstone,2.3,0.5,0.5
17,0,marble,2.7,0.7,0.3
18,0,slate,2.7,0.8,0.2
19,0,ruby,4.0,0.9,0.1
20,0,sapphire,4.0,0.9,0.1
21,0,emerald,2.7,0.8,0.2
22,0,topaz,3.5,0.7,0.3
23,0,iron,7.8,0.9,0.1
24,0,gold,19.3,0.8,0.2
25,0,silver,10.5,0.7,0.3
26,0,copper,8.96,0.6,0.4
27,0,aluminum,2.7,0.5,0.5
28,0,lead,11.3,0.8,0.2
29,0,zinc,7.14,0.7,0.3
0,1,tin,7.3,0.6,0.4
1,1,platinum,21.5,0.9,0.1
2,1,palladium,12.0,0.8,0.2
3,1,coal,1.3,0.3,0.7
4,1,graphite,2.3,0.2,0.8
5,1,diamond,3.5,1.0,0.0
6,1,quartz,2.65,0.8,0.2
7,1,limestone,2.7,0.4,0.6
8,1,granite,2.75,0.9,0.1
9,1,sandstone,2.3,0.5,0.5
10,1,marble,2.7,0.7,0.3
11,1,slate,2.7,0.8,0.2
12,1,ruby,4.0,0.9,0.1
13,1,sapphire,4.0,0.9,0.1
14,1,emerald,2.7,0.8,0.2
15,1,topaz,3.5,0.7,0.3
16,1,iron,7.8,0.9,0.1
17,1,gold,19.3,0.8,0.2
18,1,silver,10.5,0.7,0.3
19,1,copper,8.96,0.6,0.4
20,1,aluminum,2.7,0.5,0.5
21,1,lead,11.3,0.8,0.2
22,1,zinc,7.14,0.7,0.3
23,1,tin,7.3,0.6,0.4
24,1,platinum,21.5,0.9,0.1
25,1,palladium,12.0,0.8,0.2
26,1,coal,1.3,0.3,0.7
27,1,graphite,2.3,0.2,0.8
28,1,diamond,3.5,1.0,0.0
29,1,quartz,2.65,0.8,0.2
0,2,limestone,2.7,0.4,0.6
1,2,granite,2.75,0.9,0.1
2,2,sandstone,2.3,0.5,0.5
3,2,marble,2.7,0.7,0.3
4,2,slate,2.7,0.8,0.2
5,2,ruby,4.0,0.9,0.1
6,2,sapphire,4.0,0.9,0.1
7,2,emerald,2.7,0.8,0.2
8,2,topaz,3.5,0.7,0.3
9,2,iron,7.8,0.9,0.1
10,2,gold,19.3,0.8,0.2
11,2,silver,10.5,0.7,0.3
12,2,copper,8.96,0.6,0.4
13,2,aluminum,2.7,0.5,0.5
