x,y,ore_type,density,hardness,fragmentation_index
0,0,gold,4,0.8,0.2
1,0,silver,3.5,0.7,0.3
2,0,copper,3,0.6,0.4
3,0,iron,5,0.9,0.1
4,0,coal,2,0.4,0.6
5,0,clay,1.5,0.2,0.8
6,0,gold,4,0.8,0.2
7,0,silver,3.5,0.7,0.3
8,0,copper,3,0.6,0.4
9,0,iron,5,0.9,0.1
10,0,coal,2,0.4,0.6
11,0,clay,1.5,0.2,0.8
12,0,gold,4,0.8,0.2
13,0,silver,3.5,0.7,0.3
14,0,copper,3,0.6,0.4
15,0,iron,5,0.9,0.1
16,0,coal,2,0.4,0.6
17,0,clay,1.5,0.2,0.8
18,0,gold,4,0.8,0.2
19,0,silver,3.5,0.7,0.3
0,1,copper,3,0.6,0.4
1,1,iron,5,0.9,0.1
2,1,coal,2,0.4,0.6
3,1,clay,1.5,0.2,0.8
4,1,gold,4,0.8,0.2
5,1,silver,3.5,0.7,0.3
6,1,copper,3,0.6,0.4
7,1,iron,5,0.9,0.1
8,1,coal,2,0.4,0.6
9,1,clay,1.5,0.2,0.8
10,1,gold,4,0.8,0.2
11,1,silver,3.5,0.7,0.3
12,1,copper,3,0.6,0.4
13,1,iron,5,0.9,0.1
14,1,coal,2,0.4,0.6
15,1,clay,1.5,0.2,0.8
16,1,gold,4,0.8,0.2
17,1,silver,3.5,0.7,0.3
18,1,copper,3,0.6,0.4
19,1,iron,5,0.9,0.1
0,2,coal,2,0.4,0.6
