x,y,ore_type,density,hardness,fragmentation_index
0,0,gold,19.3,0.8,0.2
1,0,quartz,2.65,0.8,0.2
2,0,palladium,12.0,0.8,0.2
3,0,copper,8.96,0.6,0.4
4,0,copper,8.96,0.6,0.4
5,0,ruby,4.0,0.9,0.1
6,0,platinum,21.5,0.9,0.1
7,0,sapphire,4.0,0.9,0.1
8,0,tin,7.3,0.6,0.4
9,0,gold,19.3,0.8,0.2
10,0,copper,8.96,0.6,0.4
11,0,ruby,4.0,0.9,0.1
12,0,rock,2.5,0.6,0.4
13,0,sapphire,4.0,0.9,0.1
14,0,diamond,3.5,1.0,0.0
15,0,gold,19.3,0.8,0.2
16,0,platinum,21.5,0.9,0.1
17,0,slate,2.7,0.8,0.2
18,0,coal,1.3,0.3,0.7
19,0,zinc,7.14,0.7,0.3
0,1,iron,7.8,0.9,0.1
1,1,silver,10.5,0.7,0.3
2,1,platinum,21.5,0.9,0.1
3,1,platinum,21.5,0.9,0.1
4,1,ruby,4.0,0.9,0.1
5,1,platinum,21.5,0.9,0.1
6,1,aluminum,2.7,0.5,0.5
7,1,sandstone,2.3,0.5,0.5
8,1,sapphire,4.0,0.9,0.1
9,1,mineral,2.8,0.65,0.35
10,1,zinc,7.14,0.7,0.3
11,1,aluminum,2.7,0.5,0.5
12,1,sandstone,2.3,0.5,0.5
13,1,sapphire,4.0,0.9,0.1
14,1,quartz,2.65,0.8,0.2
15,1,stone,2.5,0.6,0.4
16,1,silver,10.5,0.7,0.3
17,1,platinum,21.5,0.9,0.1
18,1,coal,1.3,0.3,0.7
19,1,palladium,12.0,0.8,0.2
0,2,quartz,2.65,0.8,0.2
1,2,copper,8.96,0.6,0.4
2,2,aluminum,2.7,0.5,0.5
3,2,tin,7.3,0.6,0.4
4,2,topaz,3.5,0.7,0.3
5,2,sapphire,4.0,0.9,0.1
6,2,topaz,3.5,0.7,0.3
7,2,copper,8.96,0.6,0.4
8,2,ruby,4.0,0.9,0.1
9,2,ruby,4.0,0.9,0.1
10,2,topaz,3.5,0.7,0.3
11,2,aluminum,2.7,0.5,0.5
12,2,palladium,12.0,0.8,0.2
13,2,marble,2.7,0.7,0.3
14,2,clay,1.8,0.4,0.6
15,2,emerald,2.7,0.8,0.2
16,2,ruby,4.0,0.9,0.1
17,2,limestone,2.7,0.4,0.6
18,2,diamond,3.5,1.0,0.0
19,2,ruby,4.0,0.9,0.1
0,3,platinum,21.5,0.9,0.1
1,3,aluminum,2.7,0.5,0.5
2,3,quartz,2.65,0.8,0.2
3,3,rock,2.5,0.6,0.4
4,3,graphite,2.3,0.2,0.8
5,3,slate,2.7,0.8,0.2
6,3,mineral,2.8,0.65,0.35
7,3,aluminum,2.7,0.5,0.5
8,3,diamond,3.5,1.0,0.0
9,3,copper,8.96,0.6,0.4
10,3,platinum,21.5,0.9,0.1
11,3,topaz,3.5,0.7,0.3
12,3,gold,19.3,0.8,0.2
13,3,gold,19.3,0.8,0.2
14,3,platinum,21.5,0.9,0.1
15,3,gold,19.3,0.8,0.2
16,3,sapphire,4.0,0.9,0.1
17,3,rock,2.5,0.6,0.4
18,3,stone,2.5,0.6,0.4
19,3,rock,2.5,0.6,0.4
0,4,sapphire,4.0,0.9,0.1
1,4,limestone,2.7,0.4,0.6
2,4,palladium,12.0,0.8,0.2
3,4,lead,11.3,0.8,0.2
4,4,clay,1.8,0.4,0.6
5,4,silver,10.5,0.7,0.3
6,4,diamond,3.5,1.0,0.0
7,4,sandstone,2.3,0.5,0.5
8,4,granite,2.75,0.9,0.1
9,4,zinc,7.14,0.7,0.3
10,4,ruby,4.0,0.9,0.1
11,4,limestone,2.7,0.4,0.6
12,4,diamond,3.5,1.0,0.0
13,4,clay,1.8,0.4,0.6
14,4,graphite,2.3,0.2,0.8
15,4,silver,10.5,0.7,0.3
16,4,ruby,4.0,0.9,0.1
17,4,ruby,4.0,0.9,0.1
18,4,palladium,12.0,0.8,0.2
19,4,clay,1.8,0.4,0.6
0,5,diamond,3.5,1.0,0.0
1,5,ruby,4.0,0.9,0.1
2,5,marble,2.7,0.7,0.3
3,5,diamond,3.5,1.0,0.0
4,5,graphite,2.3,0.2,0.8
5,5,ruby,4.0,0.9,0.1
6,5,platinum,21.5,0.9,0.1
7,5,platinum,21.5,0.9,0.1
8,5,iron,7.8,0.9,0.1
9,5,copper,8.96,0.6,0.4
10,5,topaz,3.5,0.7,0.3
11,5,lead,11.3,0.8,0.2
12,5,granite,2.75,0.9,0.1
13,5,emerald,2.7,0.8,0.2
14,5,stone,2.5,0.6,0.4
15,5,coal,1.3,0.3,0.7
16,5,palladium,12.0,0.8,0.2
17,5,platinum,21.5,0.9,0.1
18,5,palladium,12.0,0.8,0.2
19,5,ruby,4.0,0.9,0.1
0,6,silver,10.5,0.7,0.3
1,6,granite,2.75,0.9,0.1
2,6,ruby,4.0,0.9,0.1
3,6,iron,7.8,0.9,0.1
4,6,copper,8.96,0.6,0.4
5,6,topaz,3.5,0.7,0.3
6,6,tin,7.3,0.6,0.4
7,6,slate,2.7,0.8,0.2
8,6,topaz,3.5,0.7,0.3
9,6,iron,7.8,0.9,0.1
10,6,gold,19.3,0.8,0.2
11,6,topaz,3.5,0.7,0.3
12,6,graphite,2.3,0.2,0.8
13,6,diamond,3.5,1.0,0.0
14,6,platinum,21.5,0.9,0.1
15,6,ore,3.0,0.7,0.3
16,6,gold,19.3,0.8,0.2
17,6,copper,8.96,0.6,0.4
18,6,copper,8.96,0.6,0.4
19,6,ruby,4.0,0.9,0.1
0,7,lead,11.3,0.8,0.2
1,7,gold,19.3,0.8,0.2
2,7,silver,10.5,0.7,0.3
3,7,gold,19.3,0.8,0.2
4,7,graphite,2.3,0.2,0.8
5,7,diamond,3.5,1.0,0.0
6,7,palladium,12.0,0.8,0.2
7,7,quartz,2.65,0.8,0.2
8,7,emerald,2.7,0.8,0.2
9,7,copper,8.96,0.6,0.4
10,7,stone,2.5,0.6,0.4
11,7,diamond,3.5,1.0,0.0
12,7,sapphire,4.0,0.9,0.1
13,7,copper,8.96,0.6,0.4
14,7,diamond,3.5,1.0,0.0
15,7,sapphire,4.0,0.9,0.1
16,7,graphite,2.3,0.2,0.8
17,7,sapphire,4.0,0.9,0.1
18,7,topaz,3.5,0.7,0.3
19,7,sapphire,4.0,0.9,0.1
0,8,slate,2.7,0.8,0.2
1,8,diamond,3.5,1.0,0.0
2,8,palladium,12.0,0.8,0.2
3,8,topaz,3.5,0.7,0.3
4,8,limestone,2.7,0.4,0.6
5,8,limestone,2.7,0.4,0.6
6,8,palladium,12.0,0.8,0.2
7,8,emerald,2.7,0.8,0.2
8,8,copper,8.96,0.6,0.4
9,8,quartz,2.65,0.8,0.2
10,8,diamond,3.5,1.0,0.0
11,8,slate,2.7,0.8,0.2
12,8,emerald,2.7,0.8,0.2
13,8,marble,2.7,0.7,0.3
14,8,diamond,3.5,1.0,0.0
15,8,ore,3.0,0.7,0.3
16,8,silver,10.5,0.7,0.3
17,8,gold,19.3,0.8,0.2
18,8,copper,8.96,0.6,0.4
19,8,lead,11.3,0.8,0.2
0,9,copper,8.96,0.6,0.4
1,9,coal,1.3,0.3,0.7
2,9,slate,2.7,0.8,0.2
3,9,mineral,2.8,0.65,0.35
4,9,palladium,12.0,0.8,0.2
5,9,quartz,2.65,0.8,0.2
6,9,marble,2.7,0.7,0.3
