x,y,ore_type,density,hardness,fragmentation_index
0,0,sapphire,4.0,0.9,0.1
1,0,silver,10.5,0.7,0.3
2,0,gold,19.3,0.8,0.2
3,0,emerald,2.7,0.8,0.2
4,0,gold,19.3,0.8,0.2
5,0,gold,19.3,0.8,0.2
6,0,palladium,12.0,0.8,0.2
7,0,emerald,2.7,0.8,0.2
8,0,topaz,3.5,0.7,0.3
9,0,palladium,12.0,0.8,0.2
10,0,ore,3.0,0.7,0.3
11,0,diamond,3.5,1.0,0.0
12,0,emerald,2.7,0.8,0.2
13,0,aluminum,2.7,0.5,0.5
14,0,sapphire,4.0,0.9,0.1
15,0,sapphire,4.0,0.9,0.1
16,0,diamond,3.5,1.0,0.0
17,0,granite,2.75,0.9,0.1
18,0,gold,19.3,0.8,0.2
19,0,copper,8.96,0.6,0.4
20,0,platinum,21.5,0.9,0.1
21,0,lead,11.3,0.8,0.2
22,0,sapphire,4.0,0.9,0.1
23,0,silver,10.5,0.7,0.3
24,0,ruby,4.0,0.9,0.1
25,0,silver,10.5,0.7,0.3
26,0,diamond,3.5,1.0,0.0
27,0,sapphire,4.0,0.9,0.1
28,0,palladium,12.0,0.8,0.2
29,0,diamond,3.5,1.0,0.0
0,1,emerald,2.7,0.8,0.2
1,1,emerald,2.7,0.8,0.2
2,1,silver,10.5,0.7,0.3
3,1,copper,8.96,0.6,0.4
4,1,ruby,4.0,0.9,0.1
5,1,palladium,12.0,0.8,0.2
6,1,ruby,4.0,0.9,0.1
7,1,silver,10.5,0.7,0.3
8,1,silver,10.5,0.7,0.3
9,1,emerald,2.7,0.8,0.2
10,1,copper,8.96,0.6,0.4
11,1,diamond,3.5,1.0,0.0
12,1,silver,10.5,0.7,0.3
13,1,silver,10.5,0.7,0.3
14,1,gold,19.3,0.8,0.2
15,1,sapphire,4.0,0.9,0.1
16,1,emerald,2.7,0.8,0.2
17,1,topaz,3.5,0.7,0.3
18,1,emerald,2.7,0.8,0.2
19,1,ruby,4.0,0.9,0.1
20,1,graphite,2.3,0.2,0.8
21,1,sandstone,2.3,0.5,0.5
22,1,gold,19.3,0.8,0.2
23,1,sapphire,4.0,0.9,0.1
24,1,platinum,21.5,0.9,0.1
25,1,ore,3.0,0.7,0.3
26,1,silver,10.5,0.7,0.3
27,1,marble,2.7,0.7,0.3
28,1,palladium,12.0,0.8,0.2
29,1,platinum,21.5,0.9,0.1
0,2,granite,2.75,0.9,0.1
1,2,mineral,2.8,0.65,0.35
2,2,topaz,3.5,0.7,0.3
3,2,topaz,3.5,0.7,0.3
4,2,diamond,3.5,1.0,0.0
5,2,platinum,21.5,0.9,0.1
6,2,copper,8.96,0.6,0.4
7,2,ruby,4.0,0.9,0.1
8,2,diamond,3.5,1.0,0.0
9,2,tin,7.3,0.6,0.4
10,2,copper,8.96,0.6,0.4
11,2,tin,7.3,0.6,0.4
12,2,topaz,3.5,0.7,0.3
13,2,palladium,12.0,0.8,0.2
14,2,emerald,2.7,0.8,0.2
15,2,slate,2.7,0.8,0.2
16,2,silver,10.5,0.7,0.3
17,2,sapphire,4.0,0.9,0.1
18,2,gold,19.3,0.8,0.2
19,2,sapphire,4.0,0.9,0.1
20,2,ruby,4.0,0.9,0.1
21,2,palladium,12.0,0.8,0.2
22,2,silver,10.5,0.7,0.3
23,2,stone,2.5,0.6,0.4
24,2,topaz,3.5,0.7,0.3
25,2,copper,8.96,0.6,0.4
26,2,sandstone,2.3,0.5,0.5
27,2,emerald,2.7,0.8,0.2
28,2,platinum,21.5,0.9,0.1
29,2,gold,19.3,0.8,0.2
0,3,emerald,2.7,0.8,0.2
1,3,graphite,2.3,0.2,0.8
2,3,platinum,21.5,0.9,0.1
3,3,platinum,21.5,0.9,0.1
4,3,diamond,3.5,1.0,0.0
5,3,silver,10.5,0.7,0.3
6,3,emerald,2.7,0.8,0.2
7,3,slate,2.7,0.8,0.2
8,3,palladium,12.0,0.8,0.2
9,3,gold,19.3,0.8,0.2
10,3,topaz,3.5,0.7,0.3
11,3,copper,8.96,0.6,0.4
12,3,sapphire,4.0,0.9,0.1
13,3,platinum,21.5,0.9,0.1
14,3,sapphire,4.0,0.9,0.1
15,3,palladium,12.0,0.8,0.2
16,3,silver,10.5,0.7,0.3
17,3,coal,1.3,0.3,0.7
18,3,ruby,4.0,0.9,0.1
19,3,palladium,12.0,0.8,0.2
20,3,ruby,4.0,0.9,0.1
21,3,mineral,2.8,0.65,0.35
22,3,palladium,12.0,0.8,0.2
23,3,silver,10.5,0.7,0.3
24,3,silver,10.5,0.7,0.3
25,3,diamond,3.5,1.0,0.0
26,3,diamond,3.5,1.0,0.0
27,3,sapphire,4.0,0.9,0.1
28,3,palladium,12.0,0.8,0.2
29,3,topaz,3.5,0.7,0.3
0,4,copper,8.96,0.6,0.4
1,4,gold,19.3,0.8,0.2
2,4,gold,19.3,0.8,0.2
3,4,slate,2.7,0.8,0.2
4,4,palladium,12.0,0.8,0.2
5,4,copper,8.96,0.6,0.4
6,4,ruby,4.0,0.9,0.1
7,4,palladium,12.0,0.8,0.2
8,4,palladium,12.0,0.8,0.2
9,4,sapphire,4.0,0.9,0.1
10,4,ruby,4.0,0.9,0.1
11,4,topaz,3.5,0.7,0.3
12,4,copper,8.96,0.6,0.4
13,4,topaz,3.5,0.7,0.3
14,4,topaz,3.5,0.7,0.3
15,4,ruby,4.0,0.9,0.1
16,4,iron,7.8,0.9,0.1
17,4,sapphire,4.0,0.9,0.1
18,4,ruby,4.0,0.9,0.1
19,4,lead,11.3,0.8,0.2
20,4,granite,2.75,0.9,0.1
21,4,diamond,3.5,1.0,0.0
22,4,emerald,2.7,0.8,0.2
23,4,topaz,3.5,0.7,0.3
24,4,zinc,7.14,0.7,0.3
25,4,mineral,2.8,0.65,0.35
26,4,marble,2.7,0.7,0.3
27,4,aluminum,2.7,0.5,0.5
28,4,clay,1.8,0.4,0.6
29,4,iron,7.8,0.9,0.1
0,5,sapphire,4.0,0.9,0.1
1,5,gold,19.3,0.8,0.2
2,5,palladium,12.0,0.8,0.2
3,5,ruby,4.0,0.9,0.1
4,5,emerald,2.7,0.8,0.2
5,5,sapphire,4.0,0.9,0.1
6,5,platinum,21.5,0.9,0.1
7,5,tin,7.3,0.6,0.4
8,5,sapphire,4.0,0.9,0.1
9,5,emerald,2.7,0.8,0.2
10,5,topaz,3.5,0.7,0.3
11,5,quartz,2.65,0.8,0.2
12,5,copper,8.96,0.6,0.4
13,5,gold,19.3,0.8,0.2
14,5,sapphire,4.0,0.9,0.1
15,5,gold,19.3,0.8,0.2
16,5,diamond,3.5,1.0,0.0
17,5,sapphire,4.0,0.9,0.1
18,5,palladium,12.0,0.8,0.2
19,5,topaz,3.5,0.7,0.3
20,5,sapphire,4.0,0.9,0.1
21,5,platinum,21.5,0.9,0.1
22,5,platinum,21.5,0.9,0.1
23,5,copper,8.96,0.6,0.4
24,5,ruby,4.0,0.9,0.1
25,5,emerald,2.7,0.8,0.2
26,5,emerald,2.7,0.8,0.2
27,5,diamond,3.5,1.0,0.0
28,5,marble,2.7,0.7,0.3
29,5,ruby,4.0,0.9,0.1
0,6,ruby,4.0,0.9,0.1
1,6,ruby,4.0,0.9,0.1
2,6,diamond,3.5,1.0,0.0
3,6,emerald,2.7,0.8,0.2
